id,area,bedrooms,bathrooms,stories,parking,location,furnishing,age_years,amenities_score,price
1130,3081,1,1,2,0,City Center,Semi-Furnished,29,8,14859757.92
1131,1506,5,5,3,1,City Center,Unfurnished,17,1,7858862.56
1132,4455,2,2,2,3,Old Town,Unfurnished,14,6,12146959.13
1133,3505,5,5,1,3,Countryside,Semi-Furnished,25,6,8059692.11
1134,3740,3,3,2,2,Suburb North,Unfurnished,4,5,15251348.92
1135,3917,3,1,2,2,Suburb South,Fully-Furnished,6,1,14255200.88
1136,494,3,2,2,0,Riverside,Semi-Furnished,5,9,2541560.77
1137,2759,4,1,1,2,Suburb North,Semi-Furnished,0,5,12667656.41
1138,4376,4,4,2,2,City Center,Fully-Furnished,22,2,26658240.0
1139,848,3,3,1,1,Downtown,Fully-Furnished,24,7,4553764.33
1140,3939,1,1,2,1,Countryside,Unfurnished,40,1,6231509.25
1141,1398,2,2,2,1,Tech Park Area,Fully-Furnished,38,10,6026865.08
1142,3598,3,3,2,2,Industrial Zone,Semi-Furnished,39,6,7333912.16
1143,3369,6,4,2,1,Old Town,Fully-Furnished,4,2,13881404.14
1144,2487,1,1,2,2,Tech Park Area,Unfurnished,31,1,7678444.02
1145,1145,3,2,1,2,Old Town,Semi-Furnished,22,1,2808547.45
1146,3360,4,3,4,2,Countryside,Fully-Furnished,8,1,10497292.97
1147,2449,1,1,3,3,City Center,Fully-Furnished,8,7,15462763.29
1148,3910,5,3,3,0,City Center,Fully-Furnished,28,4,24134845.62
1149,3245,1,1,2,0,Suburb South,Unfurnished,18,6,8771849.84
1150,2085,1,1,4,3,Suburb North,Semi-Furnished,29,7,7235938.72
1151,4136,4,1,1,1,Suburb North,Semi-Furnished,27,3,13258920.37
1152,714,3,3,4,1,Countryside,Unfurnished,17,7,1510946.46
1153,1087,4,2,2,2,Old Town,Unfurnished,38,6,2367694.55
1154,3761,3,3,4,1,Downtown,Unfurnished,1,10,21671063.9
1155,1482,6,2,1,1,Suburb North,Semi-Furnished,25,1,4905701.59
1156,3367,4,4,2,2,Suburb South,Unfurnished,5,6,12460327.46
1157,3535,3,2,2,2,City Center,Semi-Furnished,30,8,18488383.88
1158,1108,6,4,3,3,Downtown,Fully-Furnished,38,3,4967107.39
1159,3185,5,5,2,2,Hill View,Unfurnished,9,7,20058166.09
1160,2495,3,1,4,2,Tech Park Area,Fully-Furnished,0,7,16675554.45
1161,3961,2,2,4,0,Downtown,Unfurnished,12,6,19357281.29
1162,3621,2,2,4,1,Hill View,Unfurnished,12,10,19401426.06
1163,508,3,3,1,2,Industrial Zone,Fully-Furnished,7,7,1810146.97
1164,2317,4,4,3,2,Tech Park Area,Semi-Furnished,33,5,8926146.06
1165,1170,4,4,3,1,Tech Park Area,Fully-Furnished,10,8,7049906.96
1166,1617,6,6,4,2,Old Town,Unfurnished,5,1,5196999.15
1167,517,5,4,1,3,Old Town,Fully-Furnished,6,10,2310138.74
1168,2830,1,1,4,1,Riverside,Semi-Furnished,35,6,9096777.34
1169,3957,4,1,3,3,City Center,Fully-Furnished,25,0,22765925.47
1170,3653,2,2,3,2,Industrial Zone,Semi-Furnished,26,10,9284825.48
1171,4137,4,1,1,0,Suburb South,Semi-Furnished,33,9,12202596.87
1172,1148,5,4,2,3,Riverside,Fully-Furnished,25,0,5518132.66
1173,2816,4,2,4,1,City Center,Semi-Furnished,33,2,12740664.82
1174,857,6,6,2,0,Old Town,Semi-Furnished,40,4,2487564.45
1175,1101,3,2,1,0,Downtown,Semi-Furnished,0,10,6921838.44
1176,1076,1,1,4,0,Suburb South,Semi-Furnished,40,10,3137508.41
1177,1214,2,2,2,2,Riverside,Fully-Furnished,15,6,6282291.87
1178,3150,1,1,1,1,Downtown,Fully-Furnished,37,1,10869977.23
1179,4247,5,1,1,1,Industrial Zone,Semi-Furnished,11,1,10438090.06
1180,3909,3,2,4,0,Countryside,Unfurnished,26,1,7241611.37
1181,3012,1,1,4,3,Hill View,Fully-Furnished,28,2,13094364.84
1182,491,2,2,1,0,Hill View,Semi-Furnished,30,9,2251437.61
1183,470,2,2,3,0,Riverside,Fully-Furnished,1,8,2423999.41
1184,2546,2,1,3,0,Riverside,Unfurnished,20,2,8380355.02
1185,3430,6,2,3,2,Countryside,Unfurnished,5,5,9443847.16
1186,3120,3,3,4,3,Tech Park Area,Semi-Furnished,12,4,14364953.97
1187,3264,6,3,4,0,Old Town,Fully-Furnished,19,2,12310681.72
1188,4356,6,4,4,3,City Center,Fully-Furnished,17,5,31728476.19
1189,2937,4,4,2,2,Hill View,Fully-Furnished,4,7,19290804.44
1190,588,5,3,4,2,Old Town,Fully-Furnished,33,5,1872494.12
1191,919,2,2,4,1,Hill View,Unfurnished,4,3,4730993.2
1192,1973,2,2,1,0,Hill View,Fully-Furnished,0,5,11487344.92
1193,2774,3,2,1,3,Industrial Zone,Fully-Furnished,13,8,8665694.23
1194,2747,3,1,4,3,Hill View,Semi-Furnished,12,3,13025357.22
1195,2473,4,1,3,3,Suburb North,Unfurnished,28,2,7739982.46
1196,2871,4,2,1,2,Downtown,Fully-Furnished,36,0,12908972.56
1197,1614,2,2,1,0,Hill View,Fully-Furnished,1,1,9113678.89
1198,3849,4,3,3,2,Hill View,Semi-Furnished,5,8,25633985.23
1199,2472,5,1,4,2,Countryside,Semi-Furnished,7,5,7364208.39
1200,870,1,1,1,0,Suburb South,Unfurnished,20,6,2307472.23
1201,810,2,2,3,0,Downtown,Semi-Furnished,2,1,3680190.55
1202,1696,1,1,3,3,Industrial Zone,Fully-Furnished,10,2,5014827.7
1203,941,2,2,2,3,Countryside,Fully-Furnished,7,8,2822957.73
1204,2817,4,4,3,2,Countryside,Unfurnished,5,4,7589597.53
1205,3363,1,1,2,1,Suburb North,Unfurnished,31,0,8052799.87
1206,3196,2,2,4,1,Countryside,Unfurnished,21,3,6765575.41
1207,3569,5,5,3,2,Countryside,Fully-Furnished,9,8,11116364.37
1208,982,2,2,4,3,Old Town,Fully-Furnished,12,6,3418066.05
1209,1588,4,2,3,0,Suburb South,Semi-Furnished,6,1,5409893.59
1210,4112,4,2,3,0,Countryside,Fully-Furnished,33,7,9493616.95
1211,934,5,1,3,3,Riverside,Unfurnished,25,8,3812563.44
1212,1816,1,1,3,2,Suburb North,Unfurnished,24,6,5340635.59
1213,1225,4,2,3,3,Tech Park Area,Semi-Furnished,6,10,6386284.67
1214,1469,1,1,1,0,Downtown,Fully-Furnished,17,3,6338667.9
1215,863,3,2,4,3,City Center,Unfurnished,14,4,4519182.94
1216,1150,2,2,3,2,Downtown,Unfurnished,11,8,6145073.98
1217,2998,4,3,2,1,Hill View,Fully-Furnished,4,2,17533786.3
1218,4135,4,2,1,3,City Center,Semi-Furnished,1,2,27301128.69
1219,4059,1,1,1,2,Countryside,Fully-Furnished,0,7,12600081.98
1220,2385,1,1,1,2,Riverside,Fully-Furnished,32,2,9072972.83
1221,3625,1,1,3,2,Countryside,Semi-Furnished,22,8,7678997.88
1222,2442,3,3,4,0,Hill View,Semi-Furnished,21,8,13641328.74
1223,3960,5,4,1,2,Tech Park Area,Fully-Furnished,40,0,14419716.76
1224,2130,2,2,2,2,Countryside,Unfurnished,15,9,5138273.67
1225,4436,4,3,2,0,Riverside,Semi-Furnished,40,1,15792435.92
1226,4042,6,6,4,1,Industrial Zone,Fully-Furnished,22,5,13630215.64
1227,2159,3,3,2,0,Old Town,Fully-Furnished,21,9,7105010.77
1228,3707,4,4,3,2,Suburb North,Unfurnished,31,10,12391444.52
1229,3239,2,2,3,1,Industrial Zone,Semi-Furnished,18,1,8370689.79
1230,513,4,1,2,2,Old Town,Unfurnished,3,7,1647714.59
1231,2212,3,1,1,2,Suburb South,Semi-Furnished,18,8,7939827.66
1232,3599,5,2,1,2,Suburb South,Fully-Furnished,12,6,15624187.96
1233,780,3,2,1,3,Hill View,Unfurnished,40,6,2856747.05
1234,4410,1,1,3,2,Suburb South,Fully-Furnished,27,10,17008466.47
1235,3744,5,2,2,2,Suburb South,Semi-Furnished,35,3,10480540.86
1236,800,3,3,2,3,City Center,Unfurnished,8,8,4647118.73
1237,1733,5,5,3,3,Hill View,Semi-Furnished,29,6,9932019.72
1238,2339,1,1,4,0,Suburb South,Fully-Furnished,19,3,8100057.06
1239,1978,2,2,3,0,City Center,Unfurnished,25,10,8705600.2
1240,3757,5,4,1,0,Downtown,Semi-Furnished,6,5,21830320.36
1241,3816,3,3,3,0,Suburb North,Fully-Furnished,37,10,14679359.22
1242,3386,1,1,2,3,Suburb South,Unfurnished,40,2,7167280.7
1243,1723,6,1,4,1,Suburb North,Unfurnished,0,2,7285812.46
1244,945,5,1,2,1,Suburb North,Semi-Furnished,1,8,4408487.78
1245,677,1,1,4,3,Suburb South,Unfurnished,34,4,1817460.5
1246,3240,4,4,1,3,Suburb South,Fully-Furnished,1,2,13360799.42
1247,3499,6,2,2,1,Countryside,Semi-Furnished,18,4,8877531.25
1248,4378,5,4,3,2,City Center,Semi-Furnished,6,7,29690527.38
1249,2190,2,1,3,3,Suburb North,Fully-Furnished,24,0,7874301.4
1250,589,6,6,4,0,Hill View,Unfurnished,29,7,2844655.08
1251,4471,2,2,2,2,Tech Park Area,Semi-Furnished,32,1,14695326.49
1252,1070,3,3,4,1,Industrial Zone,Fully-Furnished,19,6,3087184.5
1253,3887,6,4,4,3,Old Town,Fully-Furnished,11,9,18470125.45
1254,2526,6,5,3,1,Hill View,Fully-Furnished,37,5,13673659.23
1255,3849,4,1,1,0,Suburb South,Unfurnished,6,10,13136705.58
1256,4276,6,4,3,1,Riverside,Unfurnished,11,6,21816396.04
1257,2170,1,1,3,0,Downtown,Fully-Furnished,4,7,13390222.88
1258,2934,6,6,1,1,Hill View,Unfurnished,28,6,13194889.09
1259,3060,5,5,2,1,Industrial Zone,Semi-Furnished,28,10,8614608.71
1260,1274,6,2,4,1,Suburb North,Fully-Furnished,1,10,8187881.22
1261,844,2,1,2,0,Hill View,Semi-Furnished,36,8,3731300.57
1262,1845,2,2,4,1,Riverside,Fully-Furnished,30,8,8012055.02
1263,2983,5,2,1,3,City Center,Fully-Furnished,24,1,16754205.51
1264,970,5,3,1,0,Countryside,Unfurnished,3,9,2666437.2
1265,542,2,2,3,3,Hill View,Unfurnished,10,4,2409735.45
1266,2806,2,2,3,3,Old Town,Unfurnished,34,1,6289256.93
1267,4287,3,1,1,2,City Center,Semi-Furnished,12,5,25380990.26
1268,693,2,1,3,0,Riverside,Semi-Furnished,4,9,3712064.5
1269,3329,1,1,1,3,Old Town,Fully-Furnished,39,1,8422650.43
1270,2411,2,2,1,0,Downtown,Semi-Furnished,32,3,9467398.22
1271,2217,4,3,2,0,Downtown,Unfurnished,12,8,11542968.03
1272,2003,6,6,1,3,Downtown,Semi-Furnished,24,2,9905235.89
1273,2198,5,2,1,3,Suburb North,Fully-Furnished,23,5,8714501.95
1274,2238,1,1,2,0,Old Town,Unfurnished,14,6,6325616.43
1275,4088,5,5,1,0,Riverside,Unfurnished,4,0,16609811.04
1276,1189,3,1,3,2,Old Town,Fully-Furnished,15,4,3777484.67
1277,2079,4,1,1,0,Industrial Zone,Fully-Furnished,13,7,6890533.88
1278,3781,3,2,4,2,Hill View,Fully-Furnished,18,10,22662985.14
1279,4107,3,3,1,0,Hill View,Semi-Furnished,39,7,16178291.81
1280,1283,2,2,2,2,Tech Park Area,Unfurnished,7,5,5933686.92
1281,3677,2,1,2,3,Countryside,Unfurnished,1,7,9741236.47
1282,1557,3,3,3,0,Downtown,Semi-Furnished,39,6,6252073.06
1283,3983,4,4,4,0,Riverside,Unfurnished,24,2,15645705.27
1284,2631,1,1,1,2,Downtown,Fully-Furnished,21,4,13213496.58
1285,2870,2,1,3,3,City Center,Fully-Furnished,3,1,18065719.97
1286,4351,6,6,3,3,City Center,Fully-Furnished,36,8,26162907.64
1287,4383,4,4,2,1,Downtown,Semi-Furnished,17,1,23092338.19
1288,3609,5,3,3,3,Downtown,Fully-Furnished,17,5,20767614.31
1289,1476,6,6,1,0,Industrial Zone,Fully-Furnished,20,4,5163843.25
1290,2267,4,1,4,0,Countryside,Unfurnished,22,7,5070621.41
1291,2729,2,2,1,0,Industrial Zone,Fully-Furnished,35,5,7090095.41
1292,2254,2,2,3,2,Countryside,Unfurnished,14,10,5049166.33
1293,4018,5,5,1,1,Suburb North,Fully-Furnished,2,2,20806813.58
1294,3974,4,4,3,0,Tech Park Area,Fully-Furnished,14,0,21789093.28
1295,1511,3,1,3,0,Old Town,Unfurnished,22,1,3380242.9
1296,2267,1,1,2,1,Hill View,Fully-Furnished,23,10,11968897.48
1297,3079,4,3,2,0,Hill View,Fully-Furnished,23,5,18568278.47
1298,4125,6,3,4,2,Old Town,Unfurnished,10,5,12840495.32
1299,4260,2,2,1,0,Old Town,Unfurnished,20,8,12124312.21
1300,3489,5,5,3,1,City Center,Fully-Furnished,2,10,30909056.69
1301,2010,6,1,1,1,Old Town,Fully-Furnished,36,10,6517532.55
1302,2162,5,5,1,0,Old Town,Semi-Furnished,33,8,6370350.75
1303,1552,2,2,3,1,Hill View,Unfurnished,23,3,6380813.83
1304,3514,1,1,4,3,Hill View,Unfurnished,22,8,15897293.51
1305,4196,3,3,2,3,City Center,Unfurnished,36,2,18250376.11
1306,1453,4,4,2,2,Industrial Zone,Semi-Furnished,20,1,3479154.7
1307,2174,5,2,4,1,Suburb South,Semi-Furnished,0,2,8133378.82
1308,1528,5,5,4,0,Suburb South,Unfurnished,27,0,4663354.9
1309,749,2,2,4,3,Hill View,Unfurnished,25,8,3269773.86
1310,1651,1,1,3,0,Downtown,Unfurnished,22,7,7322945.11
1311,3033,4,4,3,3,Suburb South,Fully-Furnished,11,9,15673724.82
1312,4286,5,1,2,0,Old Town,Fully-Furnished,23,10,15908629.25
1313,2003,3,3,2,2,Suburb North,Unfurnished,19,7,7034838.16
1314,2760,5,5,4,2,Hill View,Semi-Furnished,20,2,16113975.0
1315,621,6,6,2,3,Tech Park Area,Semi-Furnished,36,9,2817457.0
1316,1872,3,2,1,2,Industrial Zone,Semi-Furnished,28,3,4671480.99
1317,1631,3,1,2,2,Suburb South,Unfurnished,13,8,5913141.49
1318,3541,2,1,1,1,Downtown,Semi-Furnished,1,5,17403054.21
1319,4307,5,4,4,1,Countryside,Semi-Furnished,7,1,11342355.26
1320,2220,4,3,1,1,Industrial Zone,Fully-Furnished,7,5,7999490.81
1321,3498,2,2,1,2,Suburb South,Fully-Furnished,21,4,12100489.07
1322,3462,5,5,1,2,Downtown,Semi-Furnished,6,8,20840909.05
1323,3896,5,5,1,0,Riverside,Unfurnished,37,6,14971335.12
1324,1351,6,2,3,3,Suburb South,Semi-Furnished,11,7,5395000.75
1325,1263,6,1,2,0,City Center,Unfurnished,31,8,6165694.18
1326,3358,2,1,4,2,Old Town,Semi-Furnished,40,9,8112907.05
1327,1878,4,4,2,2,Riverside,Semi-Furnished,31,7,8322768.91
1328,2056,5,3,4,2,Suburb North,Unfurnished,7,4,8402624.74
1329,2281,3,2,4,0,Suburb South,Semi-Furnished,20,10,7749774.05
1330,3304,4,2,4,3,Old Town,Semi-Furnished,15,0,9636867.98
1331,2528,2,2,1,2,Industrial Zone,Fully-Furnished,20,6,7137897.67
1332,2260,4,4,3,0,Industrial Zone,Semi-Furnished,14,5,6879564.07
1333,636,3,3,4,1,Old Town,Unfurnished,34,3,1604123.35
1334,901,5,5,3,1,Old Town,Fully-Furnished,1,0,3855272.82
1335,819,6,3,3,0,Downtown,Fully-Furnished,13,5,5141155.83
1336,4485,2,2,4,1,Industrial Zone,Unfurnished,23,5,10309141.58
1337,2714,6,2,1,0,Downtown,Fully-Furnished,6,8,17694209.53
1338,2436,1,1,3,2,Downtown,Unfurnished,40,3,7086107.6
1339,3521,1,1,4,1,Industrial Zone,Unfurnished,4,1,8641652.26
1340,3331,6,4,1,0,Tech Park Area,Fully-Furnished,9,1,19133381.56
1341,3696,4,2,3,2,City Center,Fully-Furnished,1,4,25235470.69
1342,1280,1,1,4,3,Industrial Zone,Semi-Furnished,5,3,3920566.6
1343,2747,3,3,3,1,City Center,Unfurnished,31,6,13584267.71
1344,3574,5,5,1,3,Riverside,Fully-Furnished,1,6,23810430.62
1345,2281,3,3,1,2,Hill View,Unfurnished,40,1,7168875.99
1346,1143,2,2,2,0,Suburb South,Semi-Furnished,39,7,3108978.94
1347,3889,5,2,1,3,Industrial Zone,Semi-Furnished,19,5,11613991.62
1348,599,3,3,1,2,Riverside,Fully-Furnished,31,8,2688032.08
1349,4380,6,2,3,3,Countryside,Fully-Furnished,35,1,10732103.64
1350,2193,6,1,4,1,Downtown,Unfurnished,33,1,7868476.89
1351,2242,1,1,4,3,Suburb South,Fully-Furnished,33,7,6817509.37
1352,4030,5,4,4,0,Industrial Zone,Unfurnished,27,4,10355406.47
1353,4055,6,3,3,2,Old Town,Fully-Furnished,10,2,15096860.32
1354,3255,2,2,3,2,Countryside,Semi-Furnished,13,5,8510731.24
1355,3399,2,1,4,0,Hill View,Semi-Furnished,11,2,16455033.05
1356,4451,1,1,2,1,Suburb North,Fully-Furnished,29,5,14211938.76
1357,3009,4,4,2,0,Hill View,Fully-Furnished,35,3,13910910.34
1358,507,2,2,3,3,Old Town,Fully-Furnished,19,5,1752095.26
1359,2101,3,2,1,1,Suburb North,Fully-Furnished,13,4,8319223.26
1360,2758,1,1,4,2,Old Town,Fully-Furnished,38,4,7843494.35
1361,3469,5,5,4,1,Suburb South,Unfurnished,14,3,11357208.34
1362,3740,5,2,2,1,Countryside,Unfurnished,20,1,8233607.91
1363,663,2,2,4,3,Countryside,Semi-Furnished,19,8,1717628.95
1364,1436,5,4,4,3,Countryside,Semi-Furnished,19,8,3838313.23
1365,770,5,2,2,2,Suburb South,Semi-Furnished,35,7,2409400.03
1366,3681,3,1,4,2,Suburb South,Unfurnished,23,7,12135479.15
1367,1867,6,4,2,1,City Center,Semi-Furnished,11,0,10176247.93
1368,1928,5,2,1,2,Hill View,Unfurnished,23,4,8676143.75
1369,503,5,3,1,2,Countryside,Semi-Furnished,2,4,1339825.74
1370,684,5,1,4,3,Countryside,Unfurnished,30,10,1605391.67
1371,3757,1,1,3,0,Old Town,Fully-Furnished,9,2,13026905.28
1372,989,1,1,1,0,Countryside,Fully-Furnished,3,5,2425342.1
1373,2678,3,2,1,2,Hill View,Fully-Furnished,10,9,17880539.99
1374,1950,5,1,4,3,Downtown,Unfurnished,12,8,9674408.13
1375,1542,1,1,4,0,Industrial Zone,Fully-Furnished,12,8,4752570.83
1376,3052,6,6,1,2,Industrial Zone,Fully-Furnished,22,1,9135095.49
1377,2777,6,1,4,0,Suburb North,Unfurnished,11,1,9547434.86
1378,2871,6,1,2,0,Riverside,Fully-Furnished,23,7,13047076.37
1379,3416,2,2,2,1,Industrial Zone,Unfurnished,24,4,7062206.92
1380,1025,5,3,4,1,Riverside,Semi-Furnished,12,2,5292259.75
1381,1512,6,4,3,0,Countryside,Semi-Furnished,37,5,3145372.55
1382,3078,5,4,2,0,Old Town,Semi-Furnished,9,8,11687721.58
1383,3326,4,3,3,1,Hill View,Fully-Furnished,32,8,19237842.59
1384,3703,3,1,2,2,Riverside,Semi-Furnished,16,0,15705383.24
1385,2567,6,6,2,3,Suburb South,Semi-Furnished,37,5,8256609.69
1386,1997,6,5,1,2,Suburb North,Fully-Furnished,22,0,7753591.76
1387,2397,3,3,1,1,Hill View,Semi-Furnished,10,7,13464886.97
1388,3530,1,1,4,3,City Center,Semi-Furnished,15,4,19296735.63
1389,2911,3,3,4,2,Downtown,Unfurnished,32,1,10794621.3
1390,3620,3,3,1,1,Tech Park Area,Unfurnished,19,9,17258097.3
1391,4311,5,2,2,1,Hill View,Unfurnished,5,4,24263269.14
1392,1029,3,3,4,1,Countryside,Unfurnished,9,3,2579471.33
1393,1684,3,1,2,1,Riverside,Semi-Furnished,5,3,7084430.18
1394,2724,3,1,4,1,Hill View,Unfurnished,30,8,12221564.3
1395,3312,2,2,4,3,Riverside,Unfurnished,24,2,11404212.93
1396,4280,2,2,3,2,City Center,Fully-Furnished,25,8,22940891.31
1397,2450,6,6,1,1,Old Town,Unfurnished,15,5,7819079.31
1398,2503,1,1,1,1,Suburb South,Semi-Furnished,12,0,6980591.03
1399,2233,1,1,4,1,City Center,Unfurnished,18,4,10021572.74
1400,3813,4,1,3,3,Suburb South,Unfurnished,25,10,12632096.32
1401,885,4,1,3,0,City Center,Unfurnished,10,5,4370992.58
1402,2526,4,4,1,3,City Center,Semi-Furnished,3,4,15919439.57
1403,3489,6,1,4,2,Countryside,Fully-Furnished,21,8,11171454.16
1404,907,2,2,4,0,Suburb South,Unfurnished,21,9,2769227.37
1405,2559,5,5,4,3,Downtown,Semi-Furnished,18,0,12080341.19
1406,2455,4,3,1,2,Industrial Zone,Semi-Furnished,21,10,6935530.14
1407,3805,1,1,2,2,Hill View,Semi-Furnished,1,7,20531384.19
1408,3054,1,1,3,0,Tech Park Area,Fully-Furnished,25,3,11910497.48
1409,2641,1,1,2,3,City Center,Semi-Furnished,22,7,13774204.96
1410,1449,6,6,4,0,Suburb North,Semi-Furnished,23,0,5172292.32
1411,4451,6,6,1,3,Tech Park Area,Fully-Furnished,5,5,31581146.64
1412,3518,3,3,4,0,Suburb South,Fully-Furnished,16,10,16095599.38
1413,774,4,1,2,2,Industrial Zone,Fully-Furnished,32,8,2307729.31
1414,1448,6,6,1,2,Old Town,Semi-Furnished,13,6,5164326.82
1415,3271,2,2,1,3,Suburb South,Fully-Furnished,18,4,10691579.12
1416,1298,1,1,2,2,Industrial Zone,Semi-Furnished,38,10,2767339.05
1417,1356,2,1,3,1,Suburb North,Fully-Furnished,18,9,6266529.89
1418,2858,4,4,3,3,Countryside,Fully-Furnished,0,5,9231247.43
1419,1868,4,2,4,3,Riverside,Fully-Furnished,10,10,11031483.99
1420,2100,1,1,4,2,Suburb North,Unfurnished,33,5,5735830.19
1421,3525,3,3,4,0,Suburb South,Fully-Furnished,37,2,11029518.23
1422,2763,4,4,1,2,Tech Park Area,Fully-Furnished,31,3,12048154.89
1423,2651,2,2,1,0,City Center,Unfurnished,13,1,12140986.85
1424,1181,2,2,4,3,Hill View,Unfurnished,26,9,5233127.52
1425,3605,3,1,3,3,Riverside,Semi-Furnished,31,7,13594642.08
1426,4236,4,2,2,3,Industrial Zone,Unfurnished,34,5,9742331.21
1427,3137,2,2,1,3,Old Town,Fully-Furnished,26,6,9594549.67
1428,3056,1,1,2,0,Old Town,Fully-Furnished,26,0,7699618.74
1429,1473,2,2,4,0,Hill View,Unfurnished,38,10,5794077.81
1430,2544,2,1,4,2,Riverside,Unfurnished,30,3,8163757.81
1431,1650,1,1,2,3,Countryside,Unfurnished,38,7,3065778.01
1432,3713,2,2,1,2,Suburb South,Unfurnished,29,1,8368728.53
1433,582,6,6,4,3,City Center,Unfurnished,26,4,3415287.64
1434,2650,1,1,4,3,Downtown,Semi-Furnished,25,0,10218042.23
1435,3385,5,5,4,3,Suburb North,Unfurnished,9,4,15231293.32
1436,2824,1,1,3,3,Hill View,Unfurnished,15,7,12438491.33
1437,847,3,1,4,3,Riverside,Semi-Furnished,21,4,3681810.13
1438,1804,4,3,3,0,Suburb South,Unfurnished,33,4,4503794.09
1439,4055,3,3,3,2,Suburb South,Fully-Furnished,40,4,12425443.64
1440,2251,6,3,2,1,Suburb South,Fully-Furnished,18,6,9096962.84
1441,1383,1,1,3,1,Old Town,Unfurnished,16,5,3843779.13
1442,3503,5,4,4,1,Hill View,Fully-Furnished,9,9,27397480.57
1443,1737,5,3,4,3,Suburb South,Fully-Furnished,30,2,6201447.11
1444,2005,1,1,3,1,Industrial Zone,Unfurnished,14,2,4332510.6
1445,3636,6,6,1,1,Hill View,Semi-Furnished,29,9,21650937.96
1446,4162,1,1,2,2,Downtown,Semi-Furnished,40,1,15009208.64
1447,2528,1,1,1,0,Countryside,Fully-Furnished,33,3,4649257.38
1448,3715,6,2,2,1,Countryside,Unfurnished,2,9,10044388.43
1449,1586,1,1,1,1,Tech Park Area,Semi-Furnished,3,3,6683641.18
1450,2848,5,4,4,0,Tech Park Area,Unfurnished,20,10,12720734.08
1451,2409,1,1,1,3,Riverside,Unfurnished,34,9,7572181.87
1452,2445,3,1,4,0,Countryside,Fully-Furnished,12,9,7598384.58
1453,2966,4,1,3,3,Old Town,Semi-Furnished,31,10,8372684.79
1454,2527,4,4,3,2,Industrial Zone,Fully-Furnished,15,5,8096507.09
1455,2748,5,3,4,0,Suburb South,Semi-Furnished,0,5,12808036.41
1456,2537,4,4,2,1,Suburb North,Semi-Furnished,19,1,10067219.22
1457,2265,3,2,2,0,Riverside,Unfurnished,19,8,8832756.11
1458,3589,5,4,1,2,Old Town,Unfurnished,36,10,9185258.45
1459,1090,2,2,2,1,Old Town,Fully-Furnished,10,5,4205836.34
1460,4468,4,4,4,2,Riverside,Semi-Furnished,30,4,17941512.58
1461,1704,3,3,3,3,Industrial Zone,Semi-Furnished,36,6,4268771.85
1462,473,4,1,4,2,Suburb South,Semi-Furnished,17,0,1632279.62
1463,1278,2,2,3,2,Hill View,Unfurnished,20,6,6161846.27
1464,1784,5,5,2,1,Old Town,Fully-Furnished,28,4,5522668.7
1465,1445,2,2,4,3,Downtown,Fully-Furnished,24,7,7363387.56
1466,4492,5,5,4,0,Suburb North,Unfurnished,40,5,13303421.7
1467,1963,4,3,1,3,Suburb South,Fully-Furnished,4,5,9675958.88
1468,3450,4,2,2,2,Old Town,Unfurnished,35,1,7663043.77
1469,1792,5,5,3,2,Downtown,Unfurnished,4,5,11160521.46
1470,1929,4,2,2,2,Countryside,Unfurnished,29,5,3688705.06
1471,3225,6,3,3,0,Suburb South,Unfurnished,26,6,10240878.66
1472,2442,1,1,3,0,Old Town,Semi-Furnished,2,8,8944883.99
1473,1789,5,4,3,2,Suburb North,Fully-Furnished,4,9,9349933.28
1474,2736,1,1,1,3,Old Town,Fully-Furnished,12,1,8892320.46
1475,2215,3,3,4,1,Hill View,Unfurnished,11,10,12544704.9
1476,2309,5,5,4,0,City Center,Fully-Furnished,18,0,14600447.54
1477,2047,1,1,2,2,City Center,Unfurnished,16,3,9378032.8
1478,3594,3,3,2,2,Old Town,Unfurnished,12,2,9660543.42
1479,1193,1,1,1,1,Tech Park Area,Semi-Furnished,4,5,5878175.38
1480,4252,2,2,2,1,Industrial Zone,Unfurnished,27,4,8629676.3
1481,4217,2,2,1,1,Countryside,Unfurnished,24,0,7286131.86
1482,3497,6,2,4,0,Countryside,Semi-Furnished,25,3,7551339.78
1483,2008,5,1,1,1,Tech Park Area,Fully-Furnished,33,1,7573378.29
1484,1308,1,1,3,2,City Center,Unfurnished,13,1,6265959.81
1485,1923,4,3,1,3,Downtown,Unfurnished,24,6,8413192.01
1486,3962,1,1,3,2,Suburb North,Semi-Furnished,19,3,14739367.21
1487,795,6,6,4,3,Downtown,Semi-Furnished,20,0,3863581.9
1488,1469,2,2,1,1,Tech Park Area,Unfurnished,8,7,6860906.97
1489,700,5,2,3,2,Old Town,Semi-Furnished,10,6,2337180.77
1490,4285,5,2,2,2,Suburb North,Unfurnished,1,7,17707915.41
1491,2103,6,3,3,2,Downtown,Unfurnished,21,0,9992225.29
1492,590,6,6,2,3,Downtown,Fully-Furnished,24,9,3985951.06
1493,1145,2,1,1,2,Riverside,Unfurnished,26,1,3374272.08
1494,2398,4,4,4,1,Old Town,Fully-Furnished,0,4,10168584.33
1495,4134,3,2,3,2,Old Town,Fully-Furnished,6,7,16491107.1
1496,3854,5,2,2,1,Tech Park Area,Unfurnished,9,3,17910856.08
1497,3494,1,1,3,0,Riverside,Unfurnished,16,2,12855224.4
1498,1683,3,3,3,1,Hill View,Semi-Furnished,23,10,8364499.1
